"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Gender","UKRN","timepoint","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","crisis_aware_Completed","crisis_learnt_Completed","crisis_explain_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed"
204,"UKRN01","Full-time","No","Year 1",3,"Psychology ","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
205,"UKRN01","Full-time","Yes","Year 1",4,"Psychology Bsc","Female ","UKRN",1,1,0,0,1,0,1,1,1,1,1,1,1
206,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology with placement","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
207,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
208,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
209,"UKRN01","Full-time","Yes","Year 2",4,"BSc Psychology","Male","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
210,"UKRN01","Full-time","No","Year 1",3,"Psychology ","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
211,"UKRN01","Full-time","Yes","Year 2",4,"Psychology BSc","Female","UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1
212,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
213,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc (Hons)","Female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
214,"UKRN01","Full-time","No","Year 2",3,"psychology ","female ","UKRN",1,0,NA,NA,1,1,1,1,0,0,1,1,1
215,"UKRN01","Full-time","Yes","Year 2",4,"Psychology ","Male ","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
216,"UKRN01","Full-time","No","Year 1",3,"psychology","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
217,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
218,"UKRN01","Full-time","Yes","Year 2",4,"BSc Psychology","Female","UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1
219,"UKRN01","Full-time","Yes","Year 2",4,"Psychology ","Female","UKRN",1,1,1,0,0,0,0,1,1,1,1,1,1
220,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology ","Female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
221,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
223,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
224,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Male","UKRN",1,0,NA,NA,0,1,1,1,0,0,1,1,1
225,"UKRN01","Full-time","No","Year 2",3,"Psychology BSc","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
226,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","f","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
227,"UKRN01","Full-time","Yes","Year 2",4,"BSc Psychology","female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
228,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
229,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female ","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
231,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology ","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
233,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
234,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
235,"UKRN01","Full-time","No","Year 2",3,"Psychology","female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
237,"UKRN01","Full-time","Yes","Year 1",4,"Bsc Psychology","Female ","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
238,"UKRN01","Full-time","Yes","Year 2",4,"Psychology ","Female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
239,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Male","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
240,"UKRN01","Full-time","No","Year 1",3,"Psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
241,"UKRN01","Full-time","Yes","Year 1",4,"psychology ","female ","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
242,"UKRN01","Full-time","Yes","Year 2",3,"psychology Bsc","female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
243,"UKRN01","Full-time","No","Year 1",3,"Psychology BSc","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
245,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
246,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
249,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Male","UKRN",1,1,0,1,0,0,0,1,1,1,1,1,1
250,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,1,0,0,1,0,1,1,1,1,1,1,1
252,"UKRN01","Full-time","Yes","Year 2",3,"Psychology BSc ","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
253,"UKRN01","Full-time","No","Year 1",3,"Psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
255,"UKRN01","Full-time","No","Year 1",3,"Psychology Bsc (Hons)","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
257,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
258,"UKRN01","Full-time","No","Year 2",2,"Psychology BSc","Female","UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1
261,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
262,"UKRN01","Full-time","No","Year 2",3,"psychology","female","UKRN",1,1,1,0,1,1,1,1,1,1,1,1,1
263,"UKRN01","Full-time","Yes","Year 2",3,"Psychology BSc","Female","UKRN",1,0,NA,NA,1,1,1,1,0,0,1,1,1
264,"UKRN01","Full-time","Yes","Year 2",3,"Psychology BSc","Female","UKRN",1,1,0,NA,1,1,1,1,1,0,1,1,1
265,"UKRN01","Full-time","Yes","Year 2",3,"Psychology BSc","Female","UKRN",1,1,0,NA,1,1,1,1,1,0,1,1,1
267,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
268,"UKRN01","Full-time","Yes","Year 2",4,"Bsc Psychology","female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
269,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
270,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
271,"UKRN01","Full-time","Yes","Year 1",4,"Psychology ","Female ","UKRN",1,1,0,NA,0,0,1,1,1,0,1,1,1
272,"UKRN01","Full-time","Yes","Year 1",4,"Psychology ","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
273,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Male","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
274,"UKRN01","Full-time","No","Year 2",3,"Undergraduate Psychology","Female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
275,"UKRN01","Full-time","Yes","Year 1",4,"psychology ","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
276,"UKRN01","Full-time","Yes","Year 1",4,"psychology ","female ","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
277,"UKRN01","Full-time","Yes","Year 1",4,"psychology bsc","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
278,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
279,"UKRN01","Full-time","Yes","Year 1",4,"psychology bsc","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
280,"UKRN01","Full-time","Yes","Year 1",3,"Psychology BSc","female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
281,"UKRN01","Full-time","Yes","Year 1",4,"Psychology Bsc","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
282,"UKRN06","Full-time","No","Year 2",3,"BSc Psychology ","Female ","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
283,"UKRN06","Full-time","No","Year 1",3,"Psychology","Female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
284,"UKRN06","Full-time","No","Year 2",3,"Psychology BSc","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
287,"UKRN06","Full-time","No","Year 1",3,"BSc Psychology","Female ","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
288,"UKRN06","Full-time","No","Year 2",3,"BSc psychology ","Female ","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
290,"UKRN06","Full-time","No","Year 1",3,"Bsc psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
