"applicability","applicability_Completed","Awareness_1","Awareness_2","Awareness_3","Awareness_4","Awareness_5","Awareness_6","Awareness_7","Awareness_8","Awareness_Completed","Awareness_Score_Total","comments","Course_Duration","Course_Name","crisis_aware","crisis_aware_Completed","crisis_explain","crisis_explain_Completed","crisis_learnt","crisis_learnt_Completed","Current_Year","Duration_Seconds","Experience_1","Experience_2","Experience_3","Experience_4","Experience_5","Experience_6","Experience_7","Experience_8","Experience_Completed","Experience_Score_Total","Finished","Full_Part","Gender","ID","include","Knowledge_1","Knowledge_2","Knowledge_3","Knowledge_4","Knowledge_5","Knowledge_6","Knowledge_7","Knowledge_8","Knowledge_Completed","Knowledge_Score_Mean","Knowledge_Score_Total","os_explain","os_explain_Completed","os_learnt","os_learnt_Completed","Perception_1","Perception_10","Perception_11","Perception_12","Perception_13","Perception_14","Perception_15","Perception_16","Perception_2","Perception_3","Perception_4","Perception_5","Perception_6","Perception_7","Perception_8","Perception_9","Perception_Completed","Perception_Score_Mean","Perception_Score_Total","Progress","PTY","PTY_Other","timepoint","UKRN","understanding_crisis","Uni"
0,1,1,1,1,1,0,0,0,1,1,5,"",4,"BPS Psychology ",1,1,1,1,1,1,"Year 1",546,0,0,0,0,0,0,0,0,1,0,1,"Full-time","Female ",15,1,1,1,0,-1,-1,1,0,1,1,0.25,2,0,1,0,1,-1,-1,1,2,1,2,-1,1,2,0,1,-1,1,-1,-1,0,1,0.3125,5,100,"Yes","",1,"UKRN","The belief that the findings of many pieces of research are not able to be replicated so may be incorrect","UKRN02"
1,1,0,0,0,1,0,0,0,0,1,1,"",3,"Psychology ",1,1,1,1,1,1,"Year 2",520,0,0,1,0,0,0,1,1,1,3,1,"Full-time","Female",16,1,2,2,2,1,-1,1,0,2,1,1.125,9,0,1,0,1,2,1,1,2,0,1,-1,-2,1,0,2,1,1,2,0,1,1,0.75,12,100,"Yes","",1,"UKRN","Many notable studies produce non significant results when replicated by other researchers ","UKRN02"
1,1,1,1,0,0,0,0,0,0,1,2,"",4,"BSc Psychology",1,1,1,1,1,1,"Year 1",388,0,0,1,0,0,1,0,1,1,3,1,"Full-time","Female",17,1,1,0,0,-1,0,0,0,2,1,0.25,2,0,1,0,1,2,1,0,2,1,-1,-2,2,2,0,1,0,1,1,-1,-1,1,0.5,8,100,"Yes","",1,"UKRN","The lack of replication studies out there due to the unwillingness of journals to publish them has resulted in unreliable results being assumed as true","UKRN02"
1,1,1,0,0,0,0,1,1,1,1,4,"",4,"Psychology",1,1,0,1,1,1,"Year 1",2911,0,0,0,0,0,0,0,1,1,1,1,"Full-time","Female",18,1,2,1,1,-1,-2,-2,2,2,1,0.375,3,0,1,0,1,2,0,1,2,0,2,-1,-2,2,1,-1,1,2,1,-1,-2,1,0.4375,7,100,"Yes","",1,"UKRN","The lack of replication studies on research with significant findings. ","UKRN02"
1,1,1,0,1,1,0,1,1,1,1,6,"Very relevant to undergraduates and something that needs to have more awareness especially when writing up assignments for the first time",3,"BSc (Hons) Psychology",1,1,1,1,1,1,"Year 1",404,0,0,1,0,0,1,0,1,1,3,1,"Full-time","Female",19,1,1,1,2,-1,-1,1,1,1,1,0.625,5,1,1,1,1,2,2,1,2,1,1,-2,-2,1,1,1,2,2,2,1,2,1,1.0625,17,100,"Yes","",1,"UKRN","the idea that results of lots of scientific studies cannot be reproduced and are therefore likely to be wrong.","UKRN02"
1,1,1,0,1,0,0,0,1,1,1,4,"",3,"Psychology ",1,1,1,1,1,1,"Year 1",602,0,0,1,0,0,0,0,0,1,1,1,"Full-time","Male",20,1,2,1,1,-1,-2,1,1,1,1,0.5,4,0,1,1,1,2,-2,2,1,1,-2,-2,-2,2,1,-1,1,1,1,-1,1,1,0.1875,3,100,"Yes","",1,"UKRN","Researchers not replicating studies as theyâ€™re not the most desired pieces of research by journals as they want original and interesting findings","UKRN02"
1,1,1,1,1,1,0,0,0,1,1,5,"",3,"Psychology",1,1,1,1,1,1,"Year 1",370,0,0,0,0,0,0,0,0,1,0,1,"Full-time","Female",23,1,2,1,1,1,-1,0,0,0,1,0.5,4,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0.5625,9,100,"Other (Please specify)","Thereâ€™s an optional one you can decide to do nearer the time",1,"UKRN","Itâ€™s when studies arenâ€™t being replicated to check their reliability because journals want â€˜new, interesting findingsâ€™ and non significant results may not be seen as interesting","UKRN02"
0,1,0,1,0,0,0,1,1,0,1,3,"",4,"Psychology with counselling",1,1,1,1,0,1,"Year 1",796,1,0,1,1,1,0,0,1,1,5,1,"Full-time","Female",58,1,1,-1,-1,-2,-2,-1,1,0,1,-0.625,-5,0,1,1,1,2,-1,1,2,1,-1,-1,1,1,0,1,-1,0,0,-1,1,1,0.3125,5,100,"Yes","",1,"UKRN","where researchers wish to test to see if the results can be replicated but most of the studies cannot be reproduced so therefore are not valid.","UKRN02"
0,1,1,1,0,0,0,0,1,1,1,4,"",4,"BSc Psychology",1,1,1,1,1,1,"Year 1",384,0,0,1,1,1,1,0,0,1,4,1,"Full-time","Female",79,1,-1,-1,-1,-1,-1,-1,1,0,1,-0.625,-5,0,1,0,1,1,-2,1,1,1,-1,0,0,2,1,-2,-1,1,-1,-1,-1,1,-0.0625,-1,100,"Yes","",1,"UKRN","It is when inability to replicate a study reduces the credibility of the results produced.","UKRN01"
1,1,0,0,1,1,1,1,0,1,1,5,"",4,"BSc Psychology ",1,1,0,1,0,1,"Year 1",400,0,0,0,0,0,0,0,0,1,0,1,"Full-time","Female",80,1,1,0,1,-1,-1,1,0,1,1,0.25,2,0,1,0,1,1,0,1,1,0,-1,-1,-1,1,0,0,0,0,1,1,0,1,0.1875,3,100,"Yes","",1,"UKRN","belief that some studies canâ€™t be replicated ","UKRN01"
1,1,1,1,0,0,1,1,1,1,1,6,"",4,"Psychology ",0,1,9999,0,NA,0,"Year 1",279,0,0,1,1,0,0,0,0,1,2,1,"Full-time","Female ",81,1,1,-1,1,0,0,1,1,1,1,0.5,4,1,1,1,1,1,-1,1,2,0,2,0,0,1,1,2,1,1,1,1,1,1,0.875,14,100,"Yes","",1,"UKRN","","UKRN01"
1,1,1,1,1,1,1,1,1,1,1,8,"",3,"Psychology ",0,1,9999,0,NA,0,"Year 2",361,1,1,1,0,0,1,0,0,1,4,1,"Full-time","female",82,1,1,-1,2,1,-1,1,0,0,1,0.375,3,1,1,0,1,2,-1,2,1,1,-1,-2,-1,2,-1,2,0,2,-1,-1,-1,1,0.1875,3,100,"No","",1,"UKRN","","UKRN01"
1,1,1,1,0,0,1,0,1,0,1,4,"",3,"Psychology",0,1,9999,0,NA,0,"Year 1",337,0,0,1,1,0,1,0,1,1,4,1,"Full-time","Female",83,1,0,-1,-1,-1,2,-2,-1,1,1,-0.375,-3,0,1,0,1,1,-1,1,2,-1,-1,-1,0,1,0,1,1,1,2,1,1,1,0.5,8,100,"No","",1,"UKRN","","UKRN01"
1,1,1,1,0,1,1,0,1,0,1,5,"",3,"Psychology",1,1,0,1,1,1,"Year 2",354,0,0,1,0,0,1,0,1,1,3,1,"Full-time","Female",84,1,1,0,1,0,-1,1,1,1,1,0.5,4,0,1,1,1,1,1,1,1,1,-1,0,-1,1,0,0,0,-1,1,0,1,1,0.3125,5,100,"Yes","",1,"UKRN","Studies werenâ€™t scientific so needed to replicate them to check that they are reliable ","UKRN01"
1,1,1,1,0,0,0,0,1,1,1,4,"",4,"Psychology ",1,1,1,1,1,1,"Year 2",521,0,0,1,1,0,1,0,0,1,3,1,"Full-time","Female",85,1,1,1,1,2,-1,1,2,2,1,1.125,9,0,1,0,1,2,-2,2,1,2,0,0,-1,2,1,1,1,-1,-1,-1,1,1,0.4375,7,100,"Yes","",1,"UKRN","Studies (especially in Social Psychology) have been replicated to discover that many of the results were now non-significant. ","UKRN01"
1,1,0,0,1,1,0,1,0,1,1,4,"",4,"Psychology",0,1,9999,0,NA,0,"Year 1",399,0,0,0,0,0,0,0,0,1,0,1,"Full-time","Female",86,1,2,1,1,-1,-2,2,2,1,1,0.75,6,1,1,1,1,2,-2,2,-1,1,1,2,-2,2,0,1,1,1,2,2,2,1,0.875,14,100,"Yes","",1,"UKRN","","UKRN01"
1,1,1,1,1,1,1,1,0,0,1,6,"",4,"BSc psychology",1,1,0,1,0,1,"Year 1",289,0,0,0,0,0,0,0,1,1,1,1,"Full-time","Female",87,1,0,-1,-1,-1,-2,0,2,0,1,-0.375,-3,0,1,0,1,2,-2,1,1,2,2,-1,-1,1,-1,-2,0,0,-2,2,-1,1,0.0625,1,100,"Yes","",1,"UKRN","being able to produce the same findings again with the same procedures","UKRN01"
1,1,0,0,0,0,0,0,0,0,1,0,"",4,"Psychology ",0,1,9999,0,NA,0,"Year 1",630,0,0,0,0,0,0,0,0,1,0,1,"Full-time","Female ",88,1,1,1,2,1,-1,-1,1,0,1,0.5,4,0,1,0,1,2,0,1,2,1,0,-1,-2,0,1,0,1,2,1,1,1,1,0.625,10,100,"Yes","",1,"UKRN","","UKRN01"
1,1,1,1,1,1,1,1,1,1,1,8,"",4,"BSc Psychology",0,1,9999,0,NA,0,"Year 1",725,0,0,1,0,0,1,0,1,1,3,1,"Full-time","Female",89,1,-1,0,0,-1,-1,-1,0,1,1,-0.375,-3,0,1,0,1,1,0,0,2,1,2,-1,-1,2,1,1,0,0,1,1,-2,1,0.5,8,100,"Yes","",1,"UKRN","","UKRN01"
1,1,1,0,1,0,0,0,0,1,1,3,"no",3,"Psychology Bsc",1,1,0,1,1,1,"Year 1",3227,0,0,1,0,0,0,0,1,1,2,1,"Full-time","Female",90,1,-1,2,1,-2,-2,-1,1,1,1,-0.125,-1,0,1,1,1,2,1,0,2,1,1,-1,0,2,2,1,1,1,1,0,1,1,0.9375,15,100,"No","",1,"UKRN","when there aren't enough replications of studies which then questions the credibility of the studies' findings","UKRN01"
1,1,1,0,1,1,0,1,0,1,1,5,"",4,"Psychology BSc",0,1,9999,0,NA,0,"Year 1",436,0,0,1,0,0,0,0,0,1,1,1,"Full-time","Female",91,1,1,0,0,0,-1,0,0,0,1,0,0,0,1,0,1,1,0,-1,2,0,1,0,-1,2,0,0,0,1,0,0,0,1,0.3125,5,100,"Yes","",1,"UKRN","","UKRN01"
1,1,1,1,1,1,1,1,1,1,1,8,"",4,"Psychology",0,1,9999,0,NA,0,"Year 2",436,0,1,1,0,0,1,1,0,1,4,1,"Full-time","Female",92,1,1,1,1,1,-1,1,1,0,1,0.625,5,1,1,0,1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,0,0,100,"Yes","",1,"UKRN","","UKRN01"
1,1,0,0,1,0,0,0,1,1,1,3,"",3,"Psychology Bsc",1,1,1,1,0,1,"Year 1",765,0,0,0,0,0,0,0,1,1,1,1,"Full-time","Female",93,1,1,1,1,-1,-2,-2,0,0,1,-0.25,-2,0,1,0,1,1,-2,1,2,1,2,0,-1,1,1,0,-1,0,-1,-1,-1,1,0.125,2,100,"Yes","",1,"UKRN","Where the results of an original study can not be replicated","UKRN01"
1,1,1,1,1,1,1,1,1,1,1,8,"",4,"Psychology with placement year",1,1,0,1,1,1,"Year 1",464,0,0,1,0,0,0,0,1,1,2,1,"Full-time","Female",95,1,2,1,0,-1,-1,-2,1,-1,1,-0.125,-1,0,1,0,1,1,-1,-1,2,1,2,-1,-1,2,2,2,0,-1,1,1,-1,1,0.5,8,100,"Yes","",1,"UKRN","where many scientific studies have been found very hard to reproduce","UKRN01"
1,1,1,1,1,1,1,1,1,0,1,7,"",4,"BSc Psychology",1,1,0,1,1,1,"Year 1",727,0,0,0,0,0,0,0,1,1,1,1,"Full-time","Female",96,1,2,1,-1,-1,-1,-1,1,1,1,0.125,1,0,1,0,1,1,1,2,-1,1,-1,0,-1,1,0,-2,0,-1,1,-1,0,1,0,0,100,"Yes","",1,"UKRN","How hard it is to replicate the study.","UKRN01"
1,1,1,1,1,0,0,1,0,1,1,5,"",4,"Psychology",1,1,1,1,0,1,"Year 2",531,0,0,0,1,1,0,1,0,1,3,1,"Full-time","Female",99,1,1,1,1,0,-1,0,1,1,1,0.5,4,0,1,0,1,-1,1,1,1,1,-1,1,-1,0,1,1,1,-1,0,1,1,1,0.375,6,100,"Yes","",1,"UKRN","A lot of studies are impossible to replicate which is a problem.","UKRN01"
1,1,1,1,1,1,0,1,1,1,1,7,"",3,"Psychology",1,1,0,1,1,1,"Year 2",321,0,0,1,1,0,0,1,0,1,3,1,"Full-time","Male",100,1,2,1,1,1,-2,1,1,1,1,0.75,6,1,1,1,1,2,2,1,2,1,1,-1,-1,2,1,2,1,1,1,-1,1,1,0.9375,15,100,"No","",1,"UKRN","A review of the process and the thoughts regarding the need and the methods of repeating studies.","UKRN01"
1,1,1,0,1,1,0,0,0,1,1,4,"",3,"Psychology BSc",1,1,1,1,1,1,"Year 2",353,0,0,0,0,0,0,0,0,1,0,1,"Full-time","Male",101,1,1,1,-1,-2,-2,1,2,1,1,0.125,1,0,1,0,1,1,1,2,2,0,-1,0,-2,1,2,1,1,0,2,1,1,1,0.75,12,100,"No","",1,"UKRN","The difficulty in replicating original findings of a study e.g. different significances or effects are found on replication.","UKRN01"
1,1,1,1,0,1,1,1,0,0,1,5,"",3,"Psychology Bsc",0,1,9999,0,NA,0,"Year 1",340,0,0,1,0,0,0,1,1,1,3,1,"Full-time","Male",102,1,2,0,0,-2,-2,2,2,2,1,0.5,4,0,1,0,1,2,-1,2,2,0,2,-2,-2,2,2,1,-1,2,1,0,-1,1,0.5625,9,100,"Yes","",1,"UKRN","","UKRN01"
1,1,1,1,1,0,1,1,0,1,1,6,"",3,"Psychology BSc",0,1,9999,0,NA,0,"Year 1",412,1,1,1,0,0,1,0,1,1,5,1,"Full-time","Female",103,1,1,1,-1,-1,-1,-1,-1,-1,1,-0.5,-4,0,1,0,1,1,1,-1,1,0,1,-1,-1,-1,1,2,0,2,1,1,1,1,0.5,8,100,"No","",1,"UKRN","","UKRN01"
1,1,1,1,0,1,1,0,0,1,1,5,"",4,"Psychology",1,1,0,1,1,1,"Year 2",374,0,0,1,0,0,1,1,0,1,3,1,"Full-time","Female",104,1,1,0,1,-1,-1,0,1,1,1,0.25,2,0,1,0,1,2,0,1,0,1,-1,0,-1,2,1,0,1,0,1,0,1,1,0.5,8,100,"Yes","",1,"UKRN","time when the necessity of replicating studies was made focal ","UKRN01"
1,1,1,0,1,0,0,0,0,1,1,3,"",4,"BSc Psychology with Placement Year",0,1,9999,0,NA,0,"Year 1",412,0,0,1,0,0,0,0,1,1,2,1,"Full-time","Female",105,1,2,1,1,1,-1,1,0,1,1,0.75,6,0,1,0,1,2,2,1,1,0,-1,1,-1,2,1,1,0,1,1,-1,2,1,0.75,12,100,"Yes","",1,"UKRN","","UKRN01"
1,1,1,0,1,1,1,1,0,1,1,6,"",4,"Psychology",0,1,9999,0,NA,0,"Year 1",271,1,0,0,1,0,1,0,0,1,3,1,"Full-time","female",106,1,1,0,1,-1,-2,0,0,1,1,0,0,0,1,0,1,2,-1,2,1,1,-1,0,1,2,0,0,1,0,0,-1,1,1,0.5,8,100,"Yes","",1,"UKRN","","UKRN01"
1,1,1,0,1,0,0,0,0,1,1,3,"The issue could be that a lot of research is conducted on undergrad Psychology students ",4,"Psychology",1,1,1,1,1,1,"Year 1",338,0,0,0,0,0,0,0,1,1,1,1,"Full-time","Female ",108,1,2,2,1,-1,-1,1,-1,1,1,0.5,4,0,1,0,1,2,1,-1,2,1,1,-1,-1,0,1,1,-1,-1,-1,-1,2,1,0.25,4,100,"Yes","",1,"UKRN","The idea that many studies done in the past in psychology when repeated do not find the same results ","UKRN01"
1,1,0,0,0,1,0,0,0,0,1,1,"",3,"BSc Psychology ",0,1,9999,0,NA,0,"Year 2",321,1,1,1,0,1,1,1,1,1,7,1,"Full-time","Female",109,1,1,0,1,-1,-1,-1,0,1,1,0,0,0,1,0,1,1,-2,1,2,0,0,-1,0,1,1,1,1,0,2,2,1,1,0.625,10,100,"No","",1,"UKRN","","UKRN01"
1,1,1,1,1,1,1,1,1,1,1,8,"",4,"Psychology",1,1,1,1,1,1,"Year 2",489,0,0,1,1,0,1,0,1,1,4,1,"Full-time","Female",110,1,1,0,0,-1,-1,0,2,1,1,0.25,2,0,1,0,1,-1,0,2,2,0,2,-2,-1,1,0,1,1,2,1,1,-1,1,0.5,8,100,"Yes","",1,"UKRN","difficulty in replicating a study and finding the same results","UKRN01"
1,1,1,1,1,1,1,1,0,1,1,7,"",4,"BSc Psychology  ",0,1,9999,0,NA,0,"Year 1",341,0,0,0,0,0,0,1,0,1,1,1,"Full-time","Female ",111,1,-1,0,1,-1,-1,0,1,1,1,0,0,1,1,1,1,2,-1,2,2,0,-1,-1,-1,1,0,1,1,1,2,0,-1,1,0.4375,7,100,"Yes","",1,"UKRN","","UKRN01"
1,1,1,1,1,1,1,1,1,1,1,8,"",4,"Psychology ",1,1,1,1,1,1,"Year 2",292,0,0,0,0,0,0,0,0,1,0,1,"Full-time","Female",112,1,-1,1,1,1,-1,-2,2,1,1,0.25,2,0,1,1,1,2,-2,1,2,1,-1,-1,-1,2,1,1,1,1,1,1,1,1,0.625,10,100,"Yes","",1,"UKRN","Being unable to replicate the same results across different studies ","UKRN01"
1,1,1,1,1,0,1,1,0,1,1,6,"",4,"Psychology",0,1,9999,0,NA,0,"Year 1",421,0,0,1,0,0,1,0,1,1,3,1,"Full-time","female",113,1,2,0,2,1,-2,2,1,0,1,0.75,6,1,1,0,1,2,-2,1,2,1,1,-1,-1,2,0,1,1,1,-1,-1,1,1,0.4375,7,100,"Yes","",1,"UKRN","","UKRN01"
0,1,1,1,1,1,1,1,1,1,1,8,"",4,"PSYCHOLOGY ",0,1,9999,0,NA,0,"Year 1",1291,0,0,0,0,0,0,0,0,1,0,1,"Full-time","FEMALE",114,1,2,0,1,0,-1,1,1,0,1,0.5,4,0,1,0,1,2,0,1,0,1,-1,0,0,1,2,0,0,0,1,1,2,1,0.625,10,100,"Yes","",1,"UKRN","","UKRN01"
1,1,1,1,1,0,0,1,1,1,1,6,"",3,"Psychology",1,1,1,1,0,1,"Year 1",1599,0,0,0,0,0,0,0,1,1,1,1,"Full-time","Female",115,1,1,1,1,-1,0,1,-1,1,1,0.375,3,0,1,0,1,2,0,1,-1,0,-2,0,-1,2,1,1,1,1,1,1,2,1,0.5625,9,100,"No","",1,"UKRN","When a replicated study shows the complete opposite results than the first one","UKRN01"
1,1,1,0,1,0,0,1,0,1,1,4,"One or two of the questions on the first page weren't clear--worth checking your wording.",4,"Psychology BSc",0,1,9999,0,NA,0,"Year 1",546,1,0,1,0,0,1,0,1,1,4,1,"Full-time","Female",116,1,2,2,2,-2,-1,1,1,1,1,0.75,6,0,1,0,1,2,-1,0,2,1,-1,-2,-1,2,0,2,2,2,1,1,1,1,0.6875,11,100,"Yes","",1,"UKRN","","UKRN01"
1,1,0,0,1,0,0,0,0,1,1,2,"",4,"Psychology",0,1,9999,0,NA,0,"Year 1",387,0,0,0,0,0,0,0,0,1,0,1,"Full-time","Female",117,1,1,1,1,0,0,0,1,-1,1,0.375,3,0,1,0,1,2,2,1,2,0,1,1,0,1,0,1,1,1,2,2,1,1,1.125,18,100,"Yes","",1,"UKRN","","UKRN01"
1,1,1,1,1,1,1,1,1,1,1,8,"",4,"Psychology",1,1,1,1,0,1,"Year 1",336,1,1,0,0,0,1,0,1,1,4,1,"Full-time","female",118,1,2,1,2,-1,1,2,1,1,1,1.125,9,0,1,0,1,2,2,1,2,1,-1,-1,1,2,2,2,2,2,1,-1,2,1,1.1875,19,100,"Yes","",1,"UKRN","not being able to reproduce results of a certain study","UKRN01"
0,1,1,0,1,0,0,1,0,1,1,4,"",3,"Psychology",1,1,9999,0,1,1,"Year 1",657,0,0,1,0,0,0,0,1,1,2,1,"Full-time","Female",119,1,0,-1,0,-1,0,0,0,0,1,-0.25,-2,0,1,0,1,1,-1,1,1,-1,0,-1,-1,1,0,-2,0,0,1,-1,1,1,-0.0625,-1,100,"Other (Please specify)","Not sure",1,"UKRN","","UKRN01"
0,1,0,0,0,0,0,0,0,1,1,1,"",4,"Bsc Psychology",0,1,9999,0,NA,0,"Year 1",3196,0,0,0,0,0,0,0,1,1,1,1,"Full-time","female",120,1,1,0,1,-1,0,0,1,1,1,0.375,3,0,1,0,1,2,-2,2,2,-1,-2,0,0,0,1,1,2,-2,2,2,1,1,0.5,8,100,"Yes","",1,"UKRN","","UKRN01"
1,1,1,1,1,1,0,1,1,1,1,7,"",3,"Psychology",1,1,1,1,0,1,"Year 2",327,0,0,1,1,0,0,0,1,1,3,1,"Full-time","Female",121,1,-1,-1,0,-1,-1,1,0,0,1,-0.375,-3,0,1,0,1,1,-1,0,2,0,1,-2,-1,1,1,-1,0,0,1,1,-1,1,0.125,2,100,"No","",1,"UKRN","lots of methodologies/ studies are impossible to replicate or reproduce","UKRN01"
1,1,1,0,1,1,0,0,1,1,1,5,"The issues raised are somewhat applicable to undergraduates - it is important to understand things like replication andn open access, but it's not so relevant if undergraduates aren't going on to do research. Also, I felt like I didn't know much about the finanicial side - e.g. whether journals should charge for access for example.",4,"Psychology BSc",1,1,1,1,1,1,"Year 2",705,0,0,1,0,0,0,0,0,1,1,1,"Full-time","Female",122,1,2,1,1,2,1,2,1,1,1,1.375,11,1,1,0,1,0,1,1,2,2,2,2,1,2,2,2,0,2,1,0,1,1,1.3125,21,100,"Yes","",1,"UKRN","Many studies (in particular ""classic"" social psychology studies) have been replicated recenttly and results have not been significant/the same ","UKRN01"
1,1,1,0,1,1,0,1,1,1,1,6,"",4,"Psychology BSc",1,1,0,1,1,1,"Year 2",387,0,0,1,0,0,0,1,1,1,3,1,"Full-time","Female",123,1,1,2,2,-1,-2,1,2,2,1,0.875,7,0,1,0,1,1,-1,-1,2,1,1,-1,-2,2,1,1,1,1,2,2,2,1,0.75,12,100,"Yes","",1,"UKRN","There's so many studies out there claiming to have a significant effect yet hardly any of these are replicated and so it's difficult to know if these results were a one off effect or genuine ","UKRN01"
