"ID","Progress","Uni","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Perception_Replication1","Perception_Replication2","Perception_Materials1","Perception_Materials2","Perception_Education1","Perception_Education2","Perception_Access1","Perception_Access2","Perception_Data1","Perception_Data2","Perception_Power1","Perception_Power2","Perception_Preregistration1","Perception_Preregistration2","Perception_Preprint1","Perception_Preprint2","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Experience_Replication","Experience_Materials","Experience_Education","Experience_Access","Experience_Data","Experience_Power","Experience_Preregistration","Experience_Preprint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","comments"
18,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,-1,-1,0,1,0,0,1,0,-1,0,0,0,0,1,-1,1,0,0,-1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,2,0.25,8,5,1,1,0,1,1,1,""
19,"100","UKRN09","","Year 2","","","","2","UKRN",3,2,1,1,-1,1,1,1,-1,-1,-1,2,2,1,1,-1,-1,1,0,1,-2,-2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,7,0.4375,1,0.125,8,1,1,0,0,0,0,0,""
20,"100","UKRN09","","Year 2","","","","2","UKRN",3,1,1,2,0,-1,0,2,0,1,0,2,1,0,-1,-1,-1,1,1,1,0,-1,0,1,2,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,6,0.375,5,0.625,8,4,1,1,1,0,1,1,""
21,"100","UKRN09","","Year 2","","","","2","UKRN",3,1,2,2,2,0,0,0,0,1,-2,2,2,0,2,-1,-2,2,2,0,-1,-2,-1,2,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,9,0.5625,2,0.25,8,1,0,0,NA,1,0,1,""
22,"100","UKRN09","","Year 2","","","","2","UKRN",3,1,1,1,-1,0,0,1,0,-1,-1,0,1,0,1,-1,-1,1,1,0,-1,-1,0,0,-1,1,NA,1,NA,NA,1,1,1,0,0,1,0,0,1,0,0,1,0.0625,-1,-0.125,NA,2,0,0,NA,0,0,1,""
23,"100","UKRN09","","Year 2","","","","2","UKRN",3,2,-1,1,-1,2,0,2,0,2,-1,1,-1,1,-1,-1,0,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,5,0.3125,4,0.5,8,1,0,0,NA,1,0,1,""
24,"100","UKRN09","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,12,0.75,-4,-0.5,8,2,1,0,1,1,0,1,""
25,"100","UKRN09","","Year 2","","","","1","UKRN",3,1,1,1,-1,1,1,1,0,1,-2,1,2,-1,-1,-1,-2,1,2,1,-1,-2,-2,1,2,1,1,1,NA,NA,1,1,1,1,0,1,0,0,0,0,1,2,0.125,2,0.25,NA,3,1,1,1,0,1,1,""
26,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,1,1,-2,-1,-1,1,0,-1,-1,1,0,1,-1,-1,0,1,0,-1,-2,-1,0,1,0,1,1,1,NA,NA,1,NA,1,0,0,0,0,0,0,0,0,-2,-0.125,-2,-0.25,NA,0,1,1,0,1,1,1,""
27,"100","UKRN09","","Year 2","","","","2","UKRN",3,2,2,-2,-2,0,2,0,2,2,1,-1,-1,0,-1,2,-2,0,-1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,4,0.25,2,0.25,8,4,1,1,1,1,1,1,""
28,"100","UKRN09","","Year 2","","","","1","UKRN",3,1,-1,0,1,0,1,-1,0,1,1,0,2,0,0,0,2,0,0,1,0,0,1,-1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,7,0.4375,1,0.125,8,3,0,0,NA,1,0,0,""
29,"100","UKRN09","","Year 1","","","","1","UKRN",3,-1,1,1,1,1,1,2,1,1,1,0,1,1,0,0,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,10,0.625,4,0.5,8,2,1,1,1,0,1,1,"No"
30,"100","UKRN09","","Year 1","","","","1","UKRN",3,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,0,0,0,1,1,1,1,0,-1,-1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,-3,-0.1875,3,0.375,8,3,0,0,NA,0,1,1,""
31,"100","UKRN09","","Year 2","","","","2","UKRN",3,-1,-1,1,2,0,0,1,1,0,0,1,2,0,1,-1,1,-1,1,-1,-1,-1,-1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,7,0.4375,-3,-0.375,8,2,0,0,NA,0,0,1,""
32,"100","UKRN09","","Year 2","","","","2","UKRN",3,2,2,2,2,2,1,2,2,2,1,2,2,2,-1,2,-2,2,1,2,1,-1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,23,1.4375,9,1.125,8,0,1,1,1,1,1,1,""
33,"100","UKRN09","","Year 1","","","","1","UKRN",3,1,1,1,-1,1,1,1,2,1,1,1,1,0,0,-1,-1,-2,2,-1,-1,-1,-1,0,1,1,1,NA,NA,1,1,NA,1,0,1,0,0,0,0,0,0,9,0.5625,-3,-0.375,NA,1,0,0,NA,0,0,0,""
34,"100","UKRN09","","Year 1","","","","2","UKRN",3,2,1,1,0,1,0,2,1,2,1,1,-1,1,-2,-1,-2,1,1,-1,-1,-2,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,7,0.4375,-1,-0.125,8,4,0,0,NA,1,0,1,""
35,"100","UKRN09","","Year 2","","","","2","UKRN",3,1,2,2,2,2,0,1,0,1,0,2,2,0,-1,0,0,1,0,-2,2,2,-1,-1,0,1,NA,1,1,1,1,1,1,1,0,0,0,0,0,0,0,14,0.875,1,0.125,NA,1,0,0,NA,0,0,0,""
36,"100","UKRN09","","Year 2","","","","2","UKRN",3,1,1,1,2,1,1,0,-1,0,0,0,2,0,0,-1,-1,2,1,1,-1,-1,1,0,1,1,1,1,1,NA,1,NA,1,1,1,0,0,0,0,0,0,6,0.375,4,0.5,NA,2,0,0,NA,1,1,1,"no"
37,"100","UKRN09","","Year 1","","","","2","UKRN",3,0,-1,0,-1,1,-1,0,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,0,-1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,-1,-0.0625,-2,-0.25,8,2,1,1,0,0,0,1,""
38,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,2,1,0,1,0,1,-1,1,1,1,1,2,-1,-1,-1,1,1,0,1,-1,-1,1,-2,NA,NA,1,1,NA,NA,NA,1,0,0,1,0,0,0,0,0,8,0.5,0,0,NA,1,1,1,1,1,1,1,"N/A"
39,"100","UKRN09","","Year 1","","","","2","UKRN",3,2,1,1,2,2,0,2,1,2,2,2,0,2,1,-1,-1,2,2,2,2,-1,1,2,-1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,18,1.125,9,1.125,8,0,1,1,1,1,1,1,""
40,"100","UKRN09","","Year 2","","","","2","UKRN",3,-2,1,-1,1,-1,2,-2,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,0,-2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-3,-0.1875,0,0,8,0,0,0,NA,0,0,0,""
41,"100","UKRN09","","Year 2","","","","2","UKRN",3,1,2,2,2,1,1,1,1,2,2,2,2,1,2,0,-2,2,1,1,0,-1,1,2,2,1,NA,1,1,NA,NA,1,1,0,0,0,0,0,0,0,0,20,1.25,8,1,NA,0,1,1,0,1,1,1,""
42,"100","UKRN09","","Year 1","","","","1","UKRN",3,2,2,2,2,2,2,2,0,2,2,2,2,0,-2,0,-1,1,1,2,1,-1,-1,0,1,1,1,1,1,NA,NA,NA,1,1,1,1,0,0,0,0,0,19,1.1875,4,0.5,NA,3,0,0,NA,1,0,1,""
43,"100","UKRN09","","Year 2","","","","2","UKRN",3,-1,1,1,1,0,1,2,-1,1,-1,1,2,0,1,-1,-1,1,-1,0,-2,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,6,0.375,-1,-0.125,8,7,1,0,1,0,1,1,""
44,"100","UKRN09","","Year 1","","","","2","UKRN",3,-1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,-1,0,0,1,0,NA,NA,1,NA,NA,1,NA,1,0,0,1,0,0,0,0,0,8,0.5,3,0.375,NA,1,0,0,NA,0,1,0,""
45,"100","UKRN09","","Year 1","","","","2","UKRN",3,2,2,0,1,2,0,2,1,2,1,2,0,2,-2,1,1,2,2,0,1,2,2,0,2,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,17,1.0625,11,1.375,8,3,0,0,NA,0,0,1,""
46,"100","UKRN09","","Year 1","","","","1","UKRN",3,2,2,-1,2,1,2,1,1,2,0,1,2,1,-1,0,-2,2,2,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,13,0.8125,6,0.75,8,4,0,0,NA,0,0,1,""
47,"100","UKRN09","","Year 2","","","","2","UKRN",3,1,0,1,-1,1,0,1,0,1,-1,-1,0,1,0,-1,-1,1,1,0,-1,-2,1,-1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0625,0,0,8,0,0,0,NA,1,0,1,""
48,"100","UKRN09","","Year 1","","","","1","UKRN",3,2,-1,2,1,1,1,1,0,1,1,1,2,2,-2,1,-1,2,2,2,-1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,12,0.75,8,1,8,2,1,0,1,0,0,1,"nope"
49,"100","UKRN09","","Year 2","","","","2","UKRN",3,1,-1,1,1,1,0,1,1,1,-1,1,-1,1,-1,1,0,1,1,1,-1,-1,0,1,0,1,1,1,NA,NA,1,NA,1,0,0,0,0,1,0,0,1,6,0.375,2,0.25,NA,2,1,1,1,0,0,0,""
50,"100","UKRN09","","Year 1","","","","1","UKRN",3,1,1,1,1,1,1,0,0,1,1,2,1,1,-1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,10,0.625,8,1,8,0,1,1,1,0,1,1,""
51,"100","UKRN09","","Year 1","","","","2","UKRN",3,2,2,2,2,-1,-1,2,2,2,2,0,1,0,0,-2,-2,2,1,-2,-2,-2,-1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,11,0.6875,-4,-0.5,8,4,1,1,0,0,0,1,""
52,"100","UKRN09","","Year 1","","","","2","UKRN",3,2,0,1,2,2,2,2,2,2,2,0,2,0,-2,0,0,2,2,-1,-1,0,1,0,2,1,1,1,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,17,1.0625,5,0.625,NA,0,1,1,1,0,1,1,""
53,"100","UKRN09","","Year 1","","","","1","UKRN",3,2,2,2,0,0,0,2,2,2,1,0,1,1,1,0,0,1,0,2,-1,0,1,0,2,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,16,1,5,0.625,8,4,1,0,1,0,0,1,""
54,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,1,0,0,0,0,1,0,0,-1,1,-1,1,0,0,0,1,0,0,-1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,3,0.1875,1,0.125,8,3,1,1,1,1,1,1,""
55,"100","UKRN09","","Year 1","","","","1","UKRN",3,2,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,2,0,2,0,-1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,11,0.6875,5,0.625,8,4,1,1,1,0,1,1,""
56,"100","UKRN09","","Year 1","","","","2","UKRN",3,2,1,2,2,2,1,2,1,2,2,1,2,2,2,1,0,2,2,2,2,0,1,2,-1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,25,1.5625,10,1.25,8,1,1,1,1,1,1,1,""
57,"100","UKRN09","","Year 2","","","","1","UKRN",3,1,1,1,1,1,1,1,-1,1,1,2,2,2,2,0,0,1,1,-1,-2,0,1,1,1,1,1,1,NA,NA,1,1,1,1,0,1,0,0,1,0,0,16,1,2,0.25,NA,3,1,1,1,0,0,1,""
58,"100","UKRN09","","Year 1","","","","3","UKRN",3,2,1,1,2,2,1,2,0,2,-1,0,0,-1,0,-1,-1,2,1,0,-1,-1,-1,0,2,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,9,0.5625,2,0.25,8,4,1,1,1,0,0,1,""
59,"100","UKRN09","","Year 2","","","","1","UKRN",3,1,1,1,0,1,0,1,-1,1,1,1,2,1,0,-1,-1,1,1,1,0,-2,-1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,8,0.5,1,0.125,8,5,0,0,NA,1,1,1,""
60,"100","UKRN09","","Year 2","","","","2","UKRN",3,1,0,1,1,1,0,1,1,1,1,2,0,0,0,0,-1,1,1,1,1,-1,-1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,9,0.5625,2,0.25,8,2,0,0,NA,1,0,1,""
61,"100","UKRN09","","Year 1","","","","1","UKRN",3,1,2,1,0,0,0,1,-1,0,0,2,0,1,-2,-2,-2,1,1,0,-2,-2,1,0,1,NA,NA,1,NA,1,1,1,1,0,0,1,1,1,1,1,1,1,0.0625,0,0,NA,6,0,0,NA,0,0,0,""
62,"100","UKRN09","","Year 2","","","","2","UKRN",3,2,1,1,-2,0,1,1,-1,1,2,1,2,0,1,-1,-1,1,0,1,-1,-2,1,0,1,1,1,1,NA,NA,1,NA,1,1,1,1,0,0,1,0,0,8,0.5,1,0.125,NA,4,0,0,NA,1,0,1,""
63,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,1,2,1,0,0,2,1,0,-1,0,1,0,1,-1,-1,1,1,1,-2,-2,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,7,0.4375,-1,-0.125,8,2,0,0,NA,0,1,1,""
64,"100","UKRN09","","Year 1","","","","2","UKRN",3,2,1,2,2,1,2,2,0,1,1,1,1,2,2,-1,-2,1,1,2,1,-2,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,17,1.0625,7,0.875,8,3,1,1,1,1,0,1,"no"
65,"100","UKRN09","","Year 2","","","","2","UKRN",3,0,0,-1,0,0,1,0,0,0,0,-1,0,0,0,-1,0,-1,0,-1,-1,0,-1,1,-1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-2,-0.125,-4,-0.5,8,0,0,0,NA,0,0,0,""
66,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,1,1,0,1,0,1,0,1,0,1,1,0,0,-1,0,-2,-2,1,-1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,7,0.4375,-2,-0.25,8,2,0,0,NA,0,0,1,""
67,"100","UKRN09","","Year 1","","","","1","UKRN",3,2,1,0,0,1,1,1,1,0,0,1,1,0,-1,-1,-1,-2,-1,0,-1,-2,1,1,0,1,1,1,1,1,1,NA,1,1,0,1,0,1,1,0,1,6,0.375,-4,-0.5,NA,5,0,0,NA,0,0,1,""
68,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,-2,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,10,0.625,3,0.375,8,0,1,1,0,0,1,1,""
69,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,0,1,1,0,-1,-1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,11,0.6875,3,0.375,NA,0,0,0,NA,1,1,1,""
70,"100","UKRN09","","Year 1","","","","1","UKRN",3,2,-1,1,0,-1,-1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,-2,-1,2,2,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,16,1,8,1,8,4,1,1,0,1,1,1,""
71,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,1,1,1,1,0,1,0,1,-1,0,2,0,0,0,0,1,1,1,-1,-1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,8,0.5,2,0.25,8,2,1,1,0,0,0,1,""
72,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,1,0,0,1,0,2,1,1,0,1,0,0,0,0,0,1,-1,0,0,1,1,1,0,1,NA,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,8,0.5,3,0.375,NA,1,0,0,NA,0,0,0,""
73,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,2,2,2,0,0,0,-1,1,2,0,2,2,2,0,-1,2,1,2,2,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,14,0.875,9,1.125,8,5,1,1,0,1,1,0,""
74,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,1,1,1,0,0,1,0,1,1,1,0,0,-1,0,-1,1,1,1,0,-1,1,1,0,1,NA,1,NA,NA,1,NA,1,0,0,0,0,0,0,0,0,6,0.375,4,0.5,NA,0,1,0,0,0,0,0,""
75,"100","UKRN09","","Year 1","","","","3","UKRN",3,1,1,2,0,1,1,2,2,2,2,0,2,-1,2,-1,-2,-1,-1,-2,-1,-2,0,1,2,1,NA,1,NA,NA,1,NA,1,0,0,0,0,0,0,0,0,14,0.875,-4,-0.5,NA,0,0,0,NA,1,1,0,""
76,"100","UKRN09","","Year 1","","","","2","UKRN",3,2,1,2,2,2,2,1,1,1,2,0,2,1,-2,0,0,2,2,1,0,-1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,17,1.0625,8,1,8,2,1,1,1,1,1,1,""
78,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,1,1,0,0,0,0,0,1,-1,1,-1,0,-1,1,0,-2,0,0,-1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3,0.1875,-2,-0.25,NA,0,0,0,NA,0,0,1,""
79,"100","UKRN09","","Year 2","","","","1","UKRN",3,2,2,0,0,1,0,1,-2,1,-2,1,-1,2,0,-2,-2,2,2,2,-2,-2,0,0,1,1,1,1,NA,NA,1,NA,1,0,0,0,0,0,0,0,0,1,0.0625,3,0.375,NA,0,0,0,NA,0,0,1,""
82,"100","UKRN09","","Year 2","","","","2","UKRN",3,2,1,0,1,1,0,2,1,1,1,1,1,1,-1,1,-1,2,1,1,-1,-2,-1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,12,0.75,1,0.125,8,2,1,1,0,0,0,1,""
83,"100","UKRN09","","Year 1","","","","2","UKRN",3,0,2,0,-1,-1,0,0,1,1,-1,0,0,0,-2,-2,-1,0,1,0,1,0,-1,-2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,-4,-0.25,0,0,8,4,1,0,0,0,0,0,""
84,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,2,1,2,1,1,2,0,1,1,0,1,0,1,-1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,NA,1,1,0,1,1,0,1,1,1,13,0.8125,7,0.875,NA,6,1,0,1,0,0,1,""
85,"97","UKRN09","","Year 2","","","","2","UKRN",3,1,-1,0,1,0,0,-1,-1,1,-1,1,-1,1,0,0,-1,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,-0.0625,-1,-0.125,8,0,1,0,1,1,0,1,"n/a"
90,"100","UKRN09","","Year 1","","","","2","UKRN",3,0,-1,0,0,-1,0,1,0,-1,0,2,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,NA,1,1,1,1,1,0,0,0,1,0,0,0,-1,-0.0625,1,0.125,NA,2,0,0,NA,0,0,0,""
91,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,0,1,1,1,1,1,0,1,1,1,2,1,0,-1,0,1,1,1,0,-1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,11,0.6875,4,0.5,8,2,0,0,NA,1,0,1,""
92,"100","UKRN09","","Year 2","","","","1","UKRN",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,1,""
93,"100","UKRN09","","Year 1","","","","2","UKRN",3,2,1,2,1,1,1,1,1,2,-1,2,-1,1,-2,-1,-1,1,-1,1,-2,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,9,0.5625,1,0.125,8,0,0,0,NA,0,0,1,""
94,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,-1,1,0,0,-1,-1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,10,0.625,1,0.125,NA,0,1,0,0,0,0,1,""
95,"100","UKRN09","","Year 1","","","","1","UKRN",3,2,2,1,1,0,2,2,-1,2,1,2,1,-2,-1,-1,1,1,1,-1,-1,0,-1,1,0,1,1,1,1,1,1,NA,1,0,0,1,1,0,0,0,1,12,0.75,0,0,NA,3,0,0,NA,0,0,1,""
96,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,1,2,-1,1,1,-1,-1,1,0,1,2,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,NA,1,NA,1,0,1,1,0,0,1,0,0,5,0.3125,6,0.75,NA,3,1,1,0,0,1,1,""
97,"100","UKRN09","","Year 1","","","","2","UKRN",3,2,1,2,1,2,2,1,1,1,1,2,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,15,0.9375,0,0,8,0,1,1,0,0,1,1,""
