StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q5,Q6,Q26,Q14,Q9,Q9_3_TEXT,Q15,Q16,Q8,Q17,Q11,Q12,Q13,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q28_11,Q28_12,Q28_13,Q28_14,Q28_15,Q28_16,Q18.1_1,Q18.1_2,Q18.1_3,Q18.1_4,Q18.1_5,Q18.1_6,Q18.1_7,Q18.1_8,Q18.2_1,Q18.2_2,Q18.2_3,Q18.2_4,Q18.2_5,Q18.2_6,Q18.2_7,Q18.2_8,Q22,Q23,Q31,Q32,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q48,Q47
24/01/2020 07:39,24/01/2020 07:52,IP Address,100,779,TRUE,24/01/2020 07:52,R_2uTLzBa42UhcZk9,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Other (Please specify),Optional,3,1st Year,,,Psychology BSC,Yes,Female,Agree,Strongly disagree,Strongly agree,Disagree,Have no opinion,Have no opinion,Strongly agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Agree,Agree,I have heard of this,,I have heard of this,I have heard of this,,I have heard of this,,I have heard of this,I have done/used this,,I have done/used this,,,I have done/used this,,,Strongly Agree,Disagree,Agree,Have no opinion,Have no opinion,Have no opinion,Disagree,Have no opinion,Yes,Yes,Lack of replicated studies being done and published in journals articles ,Yes,Yes,Yes,
24/01/2020 07:41,24/01/2020 07:54,IP Address,100,787,TRUE,24/01/2020 07:55,R_yPX2voCJwC6oPdf,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,4,1st Year,,,Psychology,No,Female,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Have no opinion,Disagree,Strongly agree,Have no opinion,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,,,I have heard of this,I have heard of this,,,I have heard of this,I have heard of this,,,I have done/used this,,,,,,Strongly Agree,Strongly disagree,Have no opinion,Disagree,Agree,Have no opinion,Strongly disagree,Agree,Yes,Yes,The replication crisis is the idea that the results of many scientific studies cannot be reproduced because of problems/faults within the study. Therefore the findings are probably incorrect.,Not sure,Yes,Yes,
24/01/2020 07:50,24/01/2020 07:55,IP Address,100,304,TRUE,24/01/2020 07:55,R_216WcsEwTmRlbQ5,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,3,3rd Year,,,BSc Psychology,Yes,Female,Strongly agree,Agree,Agree,Have no opinion,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,I have heard of this,,I have heard of this,,,,I have heard of this,I have heard of this,,,I have done/used this,,,,,,Disagree,Disagree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly disagree,Disagree,Agree,Yes,Yes,People are copying too many studies exactly and getting the same results because they are not making small changes to their study methods. ,No,Not sure,Yes,
24/01/2020 07:50,24/01/2020 07:55,IP Address,100,295,TRUE,24/01/2020 07:55,R_3iyGKFAFZxIm0CF,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,3,1st Year,,,Psychology with Forensic Investigation ,Yes,Female ,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Have no opinion,Have no opinion,Strongly disagree,Strongly agree,Strongly disagree,Have no opinion,Have no opinion,Strongly disagree,Strongly agree,I have heard of this,,,I have heard of this,I have heard of this,,,I have heard of this,,,,,,,,,Strongly Agree,Have no opinion,Disagree,Strongly agree,Strongly Agree,Agree,Disagree,Agree,Yes,Yes,Not enough studies are being replicated and therefore this lowers the validity of their findings ,No,Not sure,Yes,
24/01/2020 07:46,24/01/2020 07:57,IP Address,100,681,TRUE,24/01/2020 07:57,R_10q4BD9TV9eymDT,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,3,3rd Year,,,Bsc Psychology,Yes,Female,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Have no opinion,Agree,Strongly agree,Strongly disagree,Have no opinion,Strongly disagree,Disagree,Agree,I have heard of this,I have heard of this,,I have heard of this,I have heard of this,I have heard of this,,I have heard of this,,,I have done/used this,,,,I have done/used this,,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Have no opinion,Yes,Not sure,Many studies in psychology aren’t actually replicable which means the findings cannot be generalised and internal validity is questionable,No,No,Yes,
24/01/2020 07:35,24/01/2020 07:59,IP Address,100,1395,TRUE,24/01/2020 07:59,R_svwDbYBFFrpfHhv,anonymous,EN,Yes,Yes,UKRN02,,Full-time,No,,3,1st Year,,,BSc Psychology,Yes,female,Strongly agree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Have no opinion,Strongly agree,I have heard of this,,I have heard of this,I have heard of this,I have heard of this,I have heard of this,I have heard of this,I have heard of this,I have done/used this,,I have done/used this,,,,,,Agree,Disagree,Disagree,Agree,Agree,Have no opinion,Disagree,Agree,Yes,Yes,"after doing replications of old studies, some researchers have found small significance levels and effect sizes than the original studies",Yes,Yes,Yes,
24/01/2020 07:55,24/01/2020 07:59,IP Address,100,246,TRUE,24/01/2020 07:59,R_2fBbhqq7RRBIqIn,anonymous,EN,Yes,Yes,UKRN02,,Full-time,No,,3,2nd Year,,,Psychology,Yes,Female,Agree,Have no opinion,Strongly agree,Have no opinion,Strongly agree,Disagree,Have no opinion,Strongly disagree,Have no opinion,Have no opinion,Strongly agree,Have no opinion,Have no opinion,Strongly agree,Agree,Have no opinion,I have heard of this,,,I have heard of this,I have heard of this,I have heard of this,I have heard of this,I have heard of this,,I have done/used this,I have done/used this,,,,,I have done/used this,Agree,Disagree,Agree,Agree,Disagree,Have no opinion,Strongly disagree,Agree,No,,,No,No,No,
24/01/2020 08:05,24/01/2020 08:13,IP Address,100,505,TRUE,24/01/2020 08:13,R_1EhbKTiw8adNjkr,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,3,1st Year,,,Psycholigy,No,female,Agree,Have no opinion,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Have no opinion,Disagree,Have no opinion,Agree,I have heard of this,I have heard of this,I have heard of this,I have heard of this,,,,,,,,,,,,,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,Yes,replication of journal articles already published but getting different results due to not follow the same procedure or changes in the times. some of the information it is considered less important,No,No,Not sure,
24/01/2020 08:09,24/01/2020 08:16,IP Address,100,395,TRUE,24/01/2020 08:16,R_vfzQwMSrujypIjv,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,3,2nd Year,,,BSc Pyschology ,No,Female,Agree,Disagree,Have no opinion,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,,,I have heard of this,,,I have heard of this,I have heard of this,I have heard of this,,,I have done/used this,,,I have done/used this,I have done/used this,I have done/used this,Disagree,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Yes,Yes,"where studies are unable to be replicated due to issues such as poorly designed studies, errors",No,Not sure,Yes,
24/01/2020 08:25,24/01/2020 08:35,IP Address,100,608,TRUE,24/01/2020 08:35,R_30ozjhUSfOSLZoY,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,4,2nd Year,,,BSc (Hons) Psychology,No,Female ,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,,,I have heard of this,,,I have heard of this,I have heard of this,I have heard of this,,,,,,I have done/used this,I have done/used this,I have done/used this,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Agree,Yes,Yes,Studies that are impossible to replicate or reproduce ,Not sure,No,Yes,No
24/01/2020 08:35,24/01/2020 08:43,IP Address,100,463,TRUE,24/01/2020 08:43,R_2rH0CoxLCKVwROZ,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,3,2nd Year,,,BsC Psychology ,No,Female ,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Have no opinion,Strongly disagree,Agree,Agree,Agree,Agree,I have heard of this,I have heard of this,I have heard of this,I have heard of this,I have heard of this,,I have heard of this,I have heard of this,I have done/used this,I have done/used this,I have done/used this,I have done/used this,,,I have done/used this,I have done/used this,Disagree,Agree,Disagree,Strongly agree,Strongly Agree,Agree,Disagree,Strongly agree,Yes,Yes,Where replicating studies is hard to do because of costs and its a waste of time so few people do replica studies.,Not sure,Yes,Yes,
24/01/2020 10:06,24/01/2020 10:11,IP Address,100,300,TRUE,24/01/2020 10:11,R_0ixBNuUK4UiE7e1,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,3,3rd Year,,,Psychology ,Yes,Female ,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Agree,I have heard of this,I have heard of this,I have heard of this,I have heard of this,,I have heard of this,I have heard of this,I have heard of this,,I have done/used this,I have done/used this,I have done/used this,,I have done/used this,I have done/used this,,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,No,,,Yes,Yes,Yes,
24/01/2020 10:05,24/01/2020 10:12,IP Address,100,401,TRUE,24/01/2020 10:12,R_2D7drndtBbiYANg,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,3,3rd Year,,,Psychology,Yes,Female,Agree,Have no opinion,Agree,Disagree,Agree,Disagree,Agree,Have no opinion,Have no opinion,Strongly agree,Have no opinion,Strongly disagree,Agree,Disagree,Disagree,Disagree,I have heard of this,I have heard of this,I have heard of this,,,I have heard of this,I have heard of this,I have heard of this,,,,,,,,,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Have no opinion,Agree,Yes,Yes,,No,Not sure,No,
24/01/2020 10:11,24/01/2020 10:16,IP Address,100,304,TRUE,24/01/2020 10:16,R_ehVWHey8sJoprIR,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,4,2nd Year,,,Psychology,Yes,Female ,Have no opinion,Strongly disagree,Have no opinion,Strongly agree,Agree,Have no opinion,Agree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Have no opinion,Have no opinion,Disagree,Strongly agree,,,I have heard of this,,,I have heard of this,I have heard of this,I have heard of this,,,I have done/used this,,,I have done/used this,I have done/used this,,Strongly Agree,Disagree,Agree,Have no opinion,Strongly Agree,Agree,Disagree,Disagree,Yes,Yes,Many studies aren’t replicable,No,No,Yes,
24/01/2020 16:10,24/01/2020 16:19,IP Address,100,546,TRUE,24/01/2020 16:19,R_1P7evONmEss3J7k,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,4,1st Year,,,BPS Psychology ,Yes,Female ,Disagree,Strongly disagree,Have no opinion,Disagree,Disagree,Disagree,Disagree,Agree,Have no opinion,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,I have heard of this,I have heard of this,I have heard of this,I have heard of this,,,,I have heard of this,,,,,,,,,Agree,Disagree,Have no opinion,Agree,Agree,Agree,Have no opinion,Agree,Yes,Yes,The belief that the findings of many pieces of research are not able to be replicated so may be incorrect,No,Not sure,Not sure,
25/01/2020 00:44,25/01/2020 00:53,IP Address,100,520,TRUE,25/01/2020 00:53,R_1GV71HcB7MkBbvN,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,3,2nd Year,,,Psychology ,Yes,Female,Strongly agree,Disagree,Have no opinion,Strongly disagree,Agree,Disagree,Strongly agree,Have no opinion,Agree,Disagree,Agree,Strongly disagree,Have no opinion,Disagree,Disagree,Strongly agree,,,,I have heard of this,,,,,,,I have done/used this,,,,I have done/used this,I have done/used this,Strongly Agree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Have no opinion,Strongly agree,Yes,Yes,Many notable studies produce non significant results when replicated by other researchers ,Not sure,Not sure,Yes,
25/01/2020 06:48,25/01/2020 06:55,IP Address,100,388,TRUE,25/01/2020 06:55,R_sXRhZU5qbweMQ1P,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,4,1st Year,,,BSc Psychology,Yes,Female,Strongly agree,Strongly disagree,Have no opinion,Disagree,Have no opinion,Disagree,Agree,Agree,Disagree,Disagree,Have no opinion,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,I have heard of this,I have heard of this,,,,,,,,,I have done/used this,,,I have done/used this,,I have done/used this,Agree,Have no opinion,Have no opinion,Agree,Have no opinion,Have no opinion,Have no opinion,Strongly agree,Yes,Yes,The lack of replication studies out there due to the unwillingness of journals to publish them has resulted in unreliable results being assumed as true,Not sure,Not sure,Yes,
25/01/2020 07:40,25/01/2020 08:28,IP Address,100,2911,TRUE,25/01/2020 08:28,R_plBhcCpd66HzY2t,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,4,1st Year,,,Psychology,Yes,Female,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Have no opinion,Agree,Strongly disagree,Have no opinion,Strongly disagree,Disagree,Strongly agree,I have heard of this,,,,,I have heard of this,I have heard of this,I have heard of this,,,,,,,,I have done/used this,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly agree,Yes,Yes,The lack of replication studies on research with significant findings. ,No,No,Yes,
25/01/2020 08:26,25/01/2020 08:33,IP Address,100,404,TRUE,25/01/2020 08:33,R_2tbwLWmSFUwRSNi,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,3,1st Year,,,BSc (Hons) Psychology,Yes,Female,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly agree,I have heard of this,,I have heard of this,I have heard of this,,I have heard of this,I have heard of this,I have heard of this,,,I have done/used this,,,I have done/used this,,I have done/used this,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Yes,Yes,the idea that results of lots of scientific studies cannot be reproduced and are therefore likely to be wrong.,Yes,Yes,Yes,Very relevant to undergraduates and something that needs to have more awareness especially when writing up assignments for the first time
25/01/2020 10:13,25/01/2020 10:23,IP Address,100,602,TRUE,25/01/2020 10:23,R_1mrqlyxJYx3ukYO,anonymous,EN,Yes,Yes,UKRN02,,Full-time,Yes,,3,1st Year,,,Psychology ,Yes,Male,Strongly agree,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,I have heard of this,,I have heard of this,,,,I have heard of this,I have heard of this,,,I have done/used this,,,,,,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Yes,Yes,Researchers not replicating studies as they’re not the most desired pieces of research by journals as they want original and interesting findings,Not sure,Yes,Yes,
