"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q1","Q5","Q6","Q26","Q14","Q9","Q9_3_TEXT","Q15","Q2nd.Year9","Q8","Q17","Q11","Q12","Q13","Q28_1","Q28_2","Q28_3","Q28_4","Q28_5","Q28_6","Q28_7","Q28_8","Q28_9","Q28_10","Q28_11","Q28_12","Q28_13","Q28_14","Q28_15","Q28_16","Q18.1_1","Q18.1_2","Q18.1_3","Q18.1_4","Q18.1_5","Q18.1_6","Q18.1_7","Q18.1_8","Q18.2_1","Q18.2_2","Q18.2_3","Q18.2_4","Q18.2_5","Q18.2_6","Q18.2_7","Q18.2_8","Q22","Q23","Q31","Q32","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q41","Q42","Q48","Q47"
"11","08/03/2022 03:50","08/03/2022 04:29","0","100","2352","1","08/03/2022 04:29","R_3O2BwpPMWxXU70C","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","2","4","2","5","1","5","2","4","3","4","1","4","1","4","3","3","4","1","","1","1","","1","","1","0","0","1","0","0","0","0","0","5","1","5","1","4","4","1","1","1","1","the crisis within psychological research concerning the credibility of research","2","3","3",""
"12","08/03/2022 03:37","08/03/2022 04:32","0","100","3301","1","08/03/2022 04:32","R_3384bf0PCPOyy5I","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","5","2","5","1","5","1","5","4","5","1","5","1","3","1","2","5","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","5","4","4","5","5","2","1","5","1","1","An issue where a lot of published research has issues with replication, meaning a lot of studies actually cannot be 'redone' by other researchers and produce similar results to the original. It is heavily emphasised today, due to the scientific method, that research should be designed in a manner where it can be reproduced by others (both experiment layout and results). This has made a lot of conventional studies invalid. ","1","1","1",""
"13","08/03/2022 05:18","08/03/2022 05:37","0","100","1136","1","08/03/2022 05:37","R_wLj4T7wrsM4RsNb","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","2","4","2","4","2","5","1","5","1","4","4","3","1","2","4","2","3","1","1","1","1","1","1","1","1","1","0","1","0","0","1","0","0","3","2","5","4","3","5","3","5","3","","","2","2","1",""
"14","08/03/2022 05:08","08/03/2022 05:42","0","100","2018","1","08/03/2022 05:42","R_2YqO15kjWUQsGMY","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","4","2","4","4","2","2","5","3","4","4","4","4","4","4","2","4","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","0","4","2","4","4","2","2","3","3","1","1","Certain studies having a problem of reproducibility","1","1","2",""
"15","08/03/2022 06:12","08/03/2022 06:41","0","100","1762","1","08/03/2022 06:41","R_2dSbGr13bp3g63p","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","1","5","1","5","1","4","2","5","2","5","1","5","2","5","2","2","5","1","1","1","1","1","1","1","1","0","0","1","0","1","1","1","1","4","2","5","3","4","3","1","5","1","1","Previous scientific research cannot be replicated","3","3","1",""
"16","08/03/2022 05:10","08/03/2022 06:44","0","100","5619","1","08/03/2022 06:44","R_24hCC4cim3jm0GV","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","5","2","4","2","4","2","4","3","4","1","5","2","3","3","4","1","1","1","1","1","1","1","1","1","0","1","0","0","1","0","1","0","4","3","4","3","4","4","2","4","2","","","1","2","1",""
"17","08/03/2022 06:58","08/03/2022 08:20","0","100","4916","1","08/03/2022 08:20","R_3RdNdnzRKqznkSn","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","2","5","1","4","4","4","2","4","2","5","2","4","1","4","2","3","3","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","1","3","3","4","4","4","2","2","4","1","1","when data from a study cannot be repeated so therefore the results aren't reproducible","1","1","1",""
"18","08/03/2022 08:03","08/03/2022 08:36","0","100","2029","1","08/03/2022 08:36","R_3Opt39tOPzbrmlK","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","2","4","4","2","3","4","3","3","2","3","4","3","3","3","3","4","4","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","4","3","3","4","3","4","3","4","1","1","Problems in replicating studies ","1","1","1",""
"19","08/03/2022 08:23","08/03/2022 09:04","0","100","2428","1","08/03/2022 09:04","R_2mWOri93yfHNms9","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","5","2","4","4","4","2","4","4","2","4","5","1","4","2","2","4","1","1","1","1","1","1","1","1","0","0","1","0","0","0","0","0","4","3","4","5","5","4","2","4","1","3","i am honestly not sure but if i was to guess it would be to do with researchers copying other researchersÇƒÙ research and claiming their results are the same/ different without having consent from the original researcher about whether they could replicate or reproduce their study ","2","3","3",""
"20","08/03/2022 08:51","08/03/2022 09:20","0","100","1700","1","08/03/2022 09:20","R_1TD3ray5APE1NNT","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","4","2","5","3","2","3","5","3","4","3","5","2","3","4","2","4","1","1","1","1","1","1","1","1","0","0","1","0","0","1","1","1","4","2","4","3","4","3","2","5","1","1","the replication crisis is where researchers would replicate studies that had been previously published but there would be methodological concerns and the replicability of the study wouldn't match the prior research","3","1","1",""
"21","08/03/2022 09:55","08/03/2022 10:45","0","100","3038","1","08/03/2022 10:45","R_1OralRh5sJ0bX65","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","4","1","5","1","3","3","3","3","4","5","5","1","3","1","2","5","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","5","1","3","4","5","2","1","3","3","","","1","3","1",""
"22","08/03/2022 10:51","08/03/2022 11:40","0","100","2920","1","08/03/2022 11:40","R_3CDD6F8wjQiLQTc","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","4","2","4","4","3","3","4","3","2","4","3","2","3","2","2","4","1","","1","","","1","1","1","0","0","1","0","0","1","0","0","4","2","3","4","4","3","3","2","3","","","2","2","1",""
"23","08/03/2022 11:49","08/03/2022 12:21","0","100","1935","1","08/03/2022 12:21","R_3phGIvHrbzlQhWS","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","5","4","4","4","5","3","5","3","5","4","4","4","4","4","2","3","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","4","4","4","4","2","4","2","4","2","","","1","2","1",""
"24","08/03/2022 12:32","08/03/2022 12:50","0","100","1075","1","08/03/2022 12:50","R_2TIgjpnfCzNrG95","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","4","2","4","2","4","2","3","3","4","2","3","3","4","2","4","2","1","1","1","1","1","1","1","1","0","0","0","1","1","0","0","0","4","4","2","4","4","2","4","4","1","2","the belief that results of many scientific studies can not be reproduced and so are likely to be wrong. ","1","2","1",""
"25","08/03/2022 11:58","08/03/2022 13:04","0","100","3980","1","08/03/2022 13:04","R_3EaupDzSZP05ctU","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","1","4","2","4","4","4","2","4","3","4","5","4","1","2","4","2","5","1","1","1","","","1","1","1","1","0","1","0","0","0","0","1","4","1","4","4","5","1","2","5","1","1","how previously carried out studies can't be verified to test if their results are actually reliable and applicable to modern day society.","3","1","1",""
"26","08/03/2022 12:16","08/03/2022 13:15","0","100","3553","1","08/03/2022 13:15","R_2pXG4DOtg6sDE7F","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","2","4","2","4","5","2","4","4","3","2","4","4","3","4","4","2","3","1","1","1","","","1","","1","0","0","0","0","0","0","0","0","4","3","2","5","4","3","2","3","1","1","When a study is replicated in hope of finding the same results the second time round.","1","1","1",""
"27","08/03/2022 12:03","08/03/2022 13:24","0","100","4821","1","08/03/2022 13:24","R_plpnLlwje0tn1Xb","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","5","1","1","5","3","1","3","1","5","2","2","4","3","4","5","5","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","0","3","4","4","2","4","3","2","4","1","1","Refers to a recent concern in psychology in which studies and results were falsifyde to achieve significant outcomes cohesive with predictions.","1","1","1",""
"28","08/03/2022 13:27","08/03/2022 13:59","0","100","1969","1","08/03/2022 13:59","R_2yfuudmXaMvszwd","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","1","4","4","3","2","3","2","2","3","4","2","3","1","3","3","3","1","1","1","1","1","1","1","1","1","1","0","1","0","0","0","0","1","3","3","4","3","3","4","4","3","2","","","1","3","3",""
"29","08/03/2022 14:05","08/03/2022 14:28","0","100","1379","1","08/03/2022 14:28","R_OiGmqTihMW7Lm3D","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","1","2","2","4","2","4","2","5","2","4","2","3","2","4","3","3","4","1","1","1","1","1","1","1","1","0","0","1","0","0","1","0","0","4","2","4","2","4","2","2","4","1","1","Some researchers are finding that their studies do not show the same results as prior studies","3","1","1","No"
"30","08/03/2022 15:48","08/03/2022 15:58","0","100","628","1","08/03/2022 15:58","R_2BhbzgtB5T4oLNk","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","1","4","4","2","4","2","4","4","4","4","4","2","2","4","3","3","3","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","0","4","2","4","2","3","2","4","4","2","","","2","1","1",""
"31","08/03/2022 13:59","08/03/2022 16:11","0","100","7902","1","08/03/2022 16:11","R_3PYLRMdQV9VYKDk","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","2","4","4","1","3","3","4","2","3","3","4","1","3","2","2","2","1","1","1","1","1","1","1","1","0","0","0","0","0","1","1","0","2","2","2","4","4","2","2","3","2","","","2","2","1",""
"32","08/03/2022 13:55","08/03/2022 16:26","0","100","9041","1","08/03/2022 16:26","R_3qe6Hk6cpSp2mrY","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","5","1","5","1","5","2","5","1","5","2","5","1","5","4","5","5","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","5","2","5","2","4","4","2","5","1","1","results of many scientific studies cannot be reproduced and are thus likely to be wrong","1","1","1",""
"33","08/03/2022 04:32","09/03/2022 04:20","0","100","85719","1","09/03/2022 04:20","R_1eFWA7ryTPs7xVu","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","1","4","2","4","4","4","2","4","1","4","2","4","2","3","3","2","4","1","1","","","1","1","","1","0","1","0","0","0","0","0","0","1","1","2","4","4","2","3","4","2","","","2","3","3",""
"34","09/03/2022 03:38","09/03/2022 05:06","0","100","5327","1","09/03/2022 05:06","R_V4tc4cAtQyK1Veh","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","2","5","2","4","3","4","3","5","2","5","2","4","4","4","5","2","5","1","1","1","1","1","1","1","1","0","0","1","0","1","1","0","1","4","2","2","4","5","3","2","3","3","","","1","3","1",""
"35","09/03/2022 04:24","09/03/2022 05:50","0","100","5140","1","09/03/2022 05:50","R_cvZrzFXgX2vKbOF","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","4","1","5","1","5","3","4","3","4","3","5","1","3","4","3","3","1","","1","1","1","1","1","1","1","0","0","0","0","0","0","0","4","3","1","1","1","2","4","3","2","","","3","3","2",""
"36","09/03/2022 05:48","09/03/2022 06:02","0","100","844","1","09/03/2022 06:02","R_QgYlmC1UXUfZ3eV","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","4","2","4","1","4","2","3","4","3","3","3","1","3","3","2","4","1","1","1","1","","1","","1","1","1","0","0","0","0","0","0","5","2","4","4","4","4","3","4","2","","","1","1","1","no"
"37","09/03/2022 06:46","09/03/2022 07:01","0","100","894","1","09/03/2022 07:01","R_3GlA3cPLlKZlJED","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","2","3","4","3","4","4","4","3","2","4","4","4","4","4","4","4","4","1","1","1","1","1","1","1","1","0","0","0","0","1","0","0","1","4","4","2","4","3","2","3","4","1","1","the crisis is an ongoing methodological crisis in which has been found that the results of many scientific studies are hard to reproduce","2","2","1",""
"38","09/03/2022 06:56","09/03/2022 07:17","0","100","1282","1","09/03/2022 07:17","R_pop40R5fNXCXqcV","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","2","4","1","4","3","4","3","4","4","4","2","4","2","5","4","2","4","","","1","1","","","","1","0","0","1","0","0","0","0","0","4","2","3","2","4","2","2","1","1","1","Lack of studies being replicated effectively, as in not being replicated exactly or failing to reproduce original results","1","1","1","N/A"
"39","09/03/2022 09:52","09/03/2022 10:11","0","100","1122","1","09/03/2022 10:11","R_1jdYCNAm3vXNt2d","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","2","5","2","4","1","5","3","5","2","5","1","5","3","5","2","2","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","5","1","5","1","4","4","1","2","1","1","Inability to replicate studies to produce the same findings as the originals ","1","1","1",""
"40","09/03/2022 10:14","09/03/2022 10:24","0","100","560","1","09/03/2022 10:24","R_0d4cu7KYvMLwE4F","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","1","2","2","2","2","1","1","2","2","2","2","2","2","2","2","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","2","2","4","4","3","1","2","4","2","","","2","2","2",""
"41","09/03/2022 10:30","09/03/2022 11:05","0","100","2119","1","09/03/2022 11:05","R_3PZ6A1N3SI30Z4U","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","4","1","5","1","4","2","4","2","5","1","5","1","4","1","3","5","1","","1","1","","","1","1","0","0","0","0","0","0","0","0","5","2","4","3","4","4","1","5","1","1","Older research findings being difficult to reproduce","1","1","1",""
"42","09/03/2022 10:24","09/03/2022 11:20","0","100","3387","1","09/03/2022 11:20","R_2samRfZUcs5va7y","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","1","5","1","5","1","5","1","5","3","5","1","5","1","3","5","3","4","1","1","1","1","","","","1","1","1","1","0","0","0","0","0","4","2","5","2","4","2","3","4","2","","","1","3","1",""
"43","09/03/2022 11:37","09/03/2022 12:09","0","100","1910","1","09/03/2022 12:09","R_3hoPhUfv5pdyoJd","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","2","2","4","2","3","2","5","4","4","4","4","1","3","2","2","4","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","4","4","3","5","4","4","2","3","1","3","That you canÇƒÙt scientifically replicate specific findings and you can get different ones in the replication ","3","1","1",""
"44","09/03/2022 13:20","09/03/2022 13:44","0","100","1431","1","09/03/2022 13:44","R_07mUz1luiNsTSSt","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","2","2","3","3","2","4","2","4","3","4","2","4","2","3","2","3","3","","","1","","","1","","1","0","0","1","0","0","0","0","0","4","2","4","4","3","3","2","3","3","","","3","1","3",""
"45","09/03/2022 13:40","09/03/2022 14:27","0","100","2858","1","09/03/2022 14:27","R_2yehQmnChUTczzY","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","2","5","1","3","2","5","3","5","2","5","2","5","3","5","5","4","2","1","1","1","1","1","1","1","1","0","0","1","0","0","0","1","1","5","1","3","2","1","5","3","5","3","","","3","3","1",""
"46","09/03/2022 22:32","09/03/2022 23:00","0","100","1685","1","09/03/2022 23:00","R_3iC54Kd0HMER39i","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","1","5","1","2","1","4","1","4","2","5","3","4","1","4","4","3","5","1","1","1","1","1","1","1","1","0","0","1","1","0","1","0","1","5","1","4","4","4","4","2","4","3","","","3","2","1",""
"47","10/03/2022 05:02","10/03/2022 05:43","0","100","2456","1","10/03/2022 05:43","R_bBYC5lUQ5tzMGqJ","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","4","3","4","4","4","3","4","3","4","4","2","3","4","3","2","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","4","2","3","4","5","4","4","4","2","","","1","3","1",""
