ID,crisis_explain
378,1
379,0
380,NA
381,1
382,NA
383,NA
384,0
385,0
386,NA
387,NA
388,NA
389,NA
390,NA
391,NA
392,NA
393,NA
394,NA
395,NA
396,NA
397,NA
398,NA
399,NA
400,NA
401,NA
402,1
403,NA
404,NA
405,1
406,NA
407,NA
408,1
409,1
410,1
411,1
412,0
413,0
414,NA
415,1
416,NA
417,NA
418,0
419,NA
420,NA
421,NA
422,NA
423,1
424,1
425,NA
426,1
427,1
428,0
429,0
430,0
431,1
432,1
433,1
434,1
435,NA
436,1
437,NA
438,NA
439,NA
440,1
441,NA
442,NA
443,1
444,0
445,1
446,NA
447,NA
448,NA
449,NA
450,NA
451,NA
452,1
453,NA
454,0
455,NA
456,NA
457,1
458,1
459,NA
460,NA
461,0
462,NA
463,1
464,0
465,NA
466,NA
467,NA
468,1
469,NA
470,1
471,1
472,NA
473,1
474,NA
475,NA
476,1
477,NA
478,1
479,0
480,1
481,0
482,NA
483,NA
484,1
485,NA
486,NA
487,0
488,NA
489,NA
490,1
491,1
492,0
493,1
494,NA
495,NA
496,0
497,0
498,NA
499,NA
500,0
501,NA
502,NA
503,0
504,1
505,1
506,1
507,1
508,0
509,NA
510,NA
511,0
512,NA
513,1
514,NA
515,NA
516,0
517,0
518,NA
519,1
520,0
521,0
522,1
523,0
524,0
525,0
526,1
527,0
528,NA
529,0
530,NA
531,NA
532,NA
533,0
534,1
535,NA
536,0
537,NA
538,NA
539,NA
540,0
541,1
542,NA
543,0
544,1
545,1
546,1
547,1
548,0
549,1
550,1
551,0
552,0
553,NA
554,1
555,NA
556,0
557,NA
558,NA
559,0
560,0
561,1
562,1
563,0
564,0
565,NA
566,1
567,NA
568,NA
569,NA
570,1
571,0
572,NA
573,NA
574,NA
575,0
576,NA
577,NA
578,1
579,0
580,NA
581,NA
582,NA
583,NA
584,NA
585,NA
586,NA
587,NA
588,NA
589,NA
590,NA
591,NA
592,NA
593,NA
594,NA
595,NA
596,NA
597,NA
598,1
599,NA
600,0
601,NA
602,NA
603,0
604,0
605,1
606,1
607,0
608,NA
609,NA
610,1
611,0
612,0
613,NA
614,0
615,NA
616,NA
617,NA
618,NA
619,NA
620,NA
621,NA
622,NA
623,NA
624,1
625,NA
626,NA
627,NA
628,1
629,NA
630,1
631,0
632,NA
633,1
634,1
635,NA
636,NA
637,NA
638,NA
639,NA
640,NA
641,1
642,0
643,NA
644,NA
645,NA
646,NA
647,0
648,0
649,NA
650,NA
651,1
652,0
653,0
654,NA
655,1
656,1
657,0
658,0
659,NA
660,1
661,NA
662,1
663,0
664,NA
665,NA
666,1
667,NA
668,1
669,NA
670,1
671,NA
672,0
673,1
674,0
675,0
676,1
677,1
678,NA
679,NA
680,NA
681,NA
682,0
683,NA
684,0
685,NA
686,NA
687,NA
688,NA
689,0
690,NA
691,NA
692,NA
693,NA
694,NA
695,1
696,1
697,NA
698,NA
699,1
700,NA
701,1
702,0
703,NA
704,0
705,NA
706,NA
707,1
708,NA
709,NA
710,1
711,1
712,1
713,NA
714,1
715,1
716,1
717,NA
718,1
719,0
720,1
721,NA
722,0
723,1
724,1
725,NA
726,0
727,0
728,1
729,1
730,1
731,1
732,1
733,1
734,0
735,1
736,1
737,NA
738,NA
739,NA
740,1
741,NA
742,0
743,1
744,0
745,NA
746,NA
747,NA
748,NA
749,1
750,1
751,NA
752,0
753,NA
754,NA
755,0
756,1
757,NA
758,NA
759,1
760,NA
761,0
762,1
763,NA
764,NA
765,NA
766,0
767,0
768,0
769,NA
770,NA
771,1
772,0
773,0
774,NA
775,0
776,0
777,1
778,0
779,0
780,1
781,NA
782,0
783,NA
784,1
785,NA
786,1
787,0
788,NA
789,1
790,0
791,0
792,NA
793,NA
794,NA
795,0
796,NA
797,1
798,0
799,0
800,0
801,0
802,0
803,1
804,0
805,1
806,1
807,1
808,NA
809,1
810,NA
811,NA
812,NA
813,NA
814,NA
815,NA
816,NA
817,NA
818,1
819,NA
820,0
821,1
822,NA
823,NA
824,NA
825,0
826,1
827,1
828,1
829,1
830,NA
831,1
832,0
833,0
834,NA
835,1
836,NA
837,NA
838,1
839,NA
840,NA
841,1
842,NA
843,0
844,1
845,0
846,1
847,1
848,NA
849,0
850,0
851,1
852,0
853,0
854,0
855,1
856,1
857,NA
858,NA
859,0
860,0
861,0
862,1
863,NA
864,NA
865,NA
866,NA
867,NA
868,NA
869,NA
870,NA
871,NA
872,1
873,0
874,NA
875,NA
876,1
877,0
878,NA
879,1
880,1
881,NA
882,1
883,NA
884,NA
885,0
886,0
887,1
888,NA
889,NA
